time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2013-08-10,1e-8,12.114736440678,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-11,1e-8,12.4646970338983,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-12,1e-8,12.8146576271186,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-13,1e-8,12.4693844994088,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-14,1e-8,12.1241113716989,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-15,1e-8,11.778838243989,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-16,1e-8,11.4335651162791,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-17,1e-8,11.5023066384778,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-18,1e-8,11.5710481606765,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19,1e-8,11.6397896828753,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20,1e-8,11.708531205074,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-21,1e-8,11.7772727272727,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-22,1e-8,11.8377967914438,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-23,1e-8,11.898320855615,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
